likes,status,text
0,0,"Всё ооочень вкусно и быстро, спасибо вам огромное, сервис на высоте и вообще одни плюсы. Удачи вам!)"
0,0,"Очень довольна! Была на Энтузиастов, купила набор Филомания с собой. Все очень вкусно, порции приличные, упаковано аккуратно, девушка  очень любезна!"
0,2,"Ольга Ветницкая  обязательно учтем Ваш отзыв! Татьяна Хон  рады ,что Вам все понравилось)  С Уважением,  Суши Wok "
0,0,"Все очень качественно и вкусно, да и очень удобно!!! Купил и можешь хоть в кино идти))) Вот из предложений есть мыслишка, почему бы не сделать конкурс  Мистер  Суши Wok  2012 ?))))"
0,2,"Спасибо большое Дмитрий Рябов,нам очень приятно) Обязательно учтем ваше предложение по поводу конкурса)) С Уважением, Суши Wok "
0,0,Это вам спасибо)))
1,0,"Здравствуйте, Всё очень вкусно конечно,но вот если бы суши еще бы не разваливались когда их палочками берешь! В основном суши покупаю либо на Просвещения либо на Науки,по поводу первого ни чего плохого не могу сказать,а вот про второй : один раз соус и палочки вообще не положили,в другой раз суши были как то не аккуратно сложены,да и заказ приходится очень долго ждать!"
0,2,"Наталия Прилуцкая мы постараемся решить эту проблему,разобраться с этим и чтобы в дальнейшем таких ситуаций не повторялось! по поводу риса  постараемся лучше отслеживать процесс приготовления риса ,чтобы суши и роллы больше не разваливались! С Уважением,Суши wok!"
1,0,"Мы тоже сегодня заказали на Испытателей запеченые роллы.палочками взять не возможно,не говоря уже о том если опустить в соус она вся разваливается по отдельной рисинке..."
0,0,"Заказывали у вас на индустриальном все очень понравилось, все свежее и вкусное и курьер умничка   принес все к четко оговоренному времени! Будем заказывать еще!"
0,0,"часто ходим,любим!только вот проблемы с картой.... один раз она у меня размагнитилась...накопления естественно пропали без вести,обещали мне все вернуть..вчера ходила,а у меня по прежнему 5  обидно"
0,0,"На байконурской замечательный магазин! Честно признаюсь, долго не могла решиться зайти, не доверяла вам, но зашла все таки и осталась просто в восторге!! брала два набора, на вечеринку в свое ДР, все наелись, наборы оказались большими, невероятно вкусными, главное  свежайшими! Очень приятное обслуживание, СПАСИБО огромное, в ДР получила дополнительную радость от Ваших прекраснейших роллов))) Не в качестве антирекламы или чего то подобного, но на 8 е марта на работу заказывали суши в евразии, доставка задержалась на ДВА часа(!), роллы были отвратительно невкусными, мятыми и отношение цена количество совсем растроило. Поэтому Ваши суши порадовали втройне)))))  P.S а еще приятно, что с сабой к двум наборам дали две больших баночки соевого соуса, так что его не пришлось покупать дополнительно)))"
0,0,"Обычно берём суши на вынос в магазине на ул.Авиаконструкторов, 4. Мой любимый запечёный набор там готовят просто отлично (только сушки немного разваливаются...)) Но вот когда заказали доставку с ул.Уточкина, дом 2, то немного расстроились: сушечки кривоваты, ОЧЕНЬ мало сверху было грибов, креветок и краба на всех, да их прктически и не было, просто мазнули чутка!!! И по закону подлости, именно в этот раз я угощала подругу, которой хвасталась, какие я поблизости вкусные сушки нашла!... В остальном, обслуживание и доставка конечно порадовали) Мне в общем то важно, чтобы на ул.Авиаконструкторов, 4 повара не испортились, хоть туда и приходится самой топать))) Спасибо!"
0,2,"Виола Каминина  постараемся решить вашу проблему! Наташа Егорова мы очень рады,что вам нравятся наши блюда!В дальнейшем будем только радовать вас! Светлана Леванчук постараемся следить за поварами на Авиаконструкторов,чтобы и дальше радовать вас любимыми блюдами!)  С Уважением,компания Суши Wok."
0,0,"Я  обычно покупаю у вас продукты для суши на Просвещении, 38 так как готовлю их сама, хотелось бы видеть больший выбор  рыбы и морепродуктов!! ))"
0,0,"покупали вчера роллы в магазине на Наличной. Брали набор  Филомания , запеченные роллы сигацу и запеченый краб. В подарок еще получили филадельфию) все было вкусно НО: роллы практически все разваливались, ролл с огурцом вообще был практически в раскрученном состоянии. И надо что то делать с запеченными роллами. На запеченные роллы это похоже мало, сверху находилась непонятная прогретая субстанция.  Будем надеяться что в следующий раз будет лучше) будем заходить Суши Вок еще)"
0,0,"Добрый день! Часто покупаю у вас суши и хочу выразить благодарность за хорошую работу.  Теперь решил предложить Вам свою помощь, по этому хочу узнать с кем следует пообщаться на счет сотрудничества с вами? Наша компания занимается перепланировкой и согласованием коммерческих помещений, считаю это  актуально для вашей быстро развивающейся компании.  С уважением, генеральный директор ООО  НЕОПРОЕКТ  Дуньков Алексей Группа в контакте http: vk.com neoproject"
0,0,"Сегодня случайно увидела ваш магазин на Гражданском, решила взять себе сушиков на обед, все отлично, ничего не разваливалось, только на филадельфии очень мало рыбы, из четырех граней только на одной. А так все хорошо, будем брать еще. Пы.Сы. порадовало кол во соуса , большая бутылочка )))"
4,0,"еще раз хочу поблагодарить ребят на байконурской! пришли перед самым закрытием, получили все быстро, вкусно, и с УЛЫБКОЙ (я под конец рабочего дня обычно уже огрызаюсь, а не улыбаюсь, а они молодцы)))  кстати, ничего не разваливалось.  да  и количество соуса всегда радует)))"
1,0,"недавно узнали о вашей компании!попробовали и  понравилось! И вкусно и не дорого! Всё супер! Только вот решили на дом заказать.. позвонили ...сначала у нас долго выясняли где мы находимся(ну то что доставка в пределах двух остановок это мы знаем) попросили перезвонить... В итоге суши доставили,но сказали что обычно сюда не доставляют  сделали исключение!Ресторан находиться на пр Науки м Академическая  пешком 15 минут до нашего дома, ул.Веденеева д4, это не так далеко...на прямую транспорт до нас не ходит...но по расстоянию мы ближе чем в 2 остановках! Может чего то не поняли ...хотя знакомые в этом же доме живут им говорят доставляют...Разъясните пожалуйста!"
3,0,"Заказали доставку на дом. Привезли. Филадельфия   все нормально, ей повезло. Остальные два бокса   в мусорку т.к. соус пролился на боксы и палочки, а внутри боксов все перемешалось и превратилось в одну единую большую массу из ингридиентов."
0,2,"Владислав Романович и Ольга Романович   пришлите пожалуйста в личку адрес магазина,где был сделан заказ. Постараемся решить проблему в кратчайшие сроки."
0,2,"Владислав Романович и Ольга Романович мы разобрались с вашей сложившейся ситуацией.Ответ в Ваших личных сообщениях. С Уважением,компания Суши Wok."
0,0,???? зачем отвечать действительно! ведь вы так дорожите своими клиентами!
0,2,"Катерина Никитина разбираемся с вашей ситуацией.Приносим извинения,что заставляем ждать.Вы получите информацию о разрешении этой проблемы.С Уважением,Суши Wok."
0,0,спасибо! жду!
0,2,"Катерина Никитина ответ у вас в личных сообщениях. С Уважением,компания Суши Wok."
0,0,Была на Лесном пр мне понравилось. Брала лапшу вок и набор  Филомания все хорошего качества. Спасибо!
8,0,"Была сегодня (5.05) в данном заведении на Горьковской, около 13 часов. Заведение отвратнейшее. Объективная оценка: суп дали в странного вида пластиковом контейнере, который даже макдональдс постыдился бы использовать в качестве посуды. Сливочный суп с лососем за 130р представляет собой коричневую жижу с плавающей в ней одиноким куском лосося. Не очень понятно, почему суп назван сливочным   может быть, из за белых  катышек  на поверхности, подозрительно напоминающие свернувшееся молоко? Девушка, принимавшая заказ, не прерывала своего общения с другими сотрудниками, поэтому мы не удивились, что наши заказы перепутали, все наполнители сложили в одну коробку, а во второй подали просто макароны. И готовилось все это очень долго. При нас несколько человек жаловались, что их заказы, сделанные по телефону час назад, до сих пор не готовы. Субъективная оценка: и суп, и воки были настолько ужасны на вкус, что мы не смогли это доесть и ушли голодными. Бывают в жизни огорчения."
0,2,"Очень жаль что некоторые люди, не оценивают наш труд, будьте бдительны я могу ворватся в любой момент, мы стараемся для вас!!!!!!!!!!!!!!"
0,0,"(на Кирочной) что касается суши и роллов   все очень свежее, вкусно, быстро и дешево! заказывали еще лапшу! ФУ с большой буквы. совершенно не понравилось. Девушка со славянской внешностью за кассой   очень милая и обходительная, другим ее коллегам стоило бы поучиться. жаль, что по карте нельзя. да и сайт не удобный. а так большое спасибо."
0,2,"Ваш Психотерапевт   ответ у вас в личных сообщения.   Артур Югай  спасибо за Ваше мнение!)  Ольга Гюлтекин  ответили Вам в личные сообщения.  С Уважением,компания Суши Wok."
0,2,"Кристина Волконская  спасибо за ваш отзыв!Мы рады,что Вам все понравилось!"
0,0,"Заказывала у вас набор Супер Сет на Кирочной 27   все очень понравилось ) Девушка за стойкой очень милая и обходительная, побольше бы таких продавцов! Очень хорошо и доходчиво объяснила как  пройти к магазину, когда я делала заказ по телефону!! Сегодня опять сделали заказ, надеюсь вы не подведете)))) Пожелание   роллки маненькие, чуть чуть бы побольше)))) А к качеству и вкусу пртензий не имею )) Молодцы )) Еще хочу сказать   когда дали листовку с Суши Вок глазам не поверила   думала неужели это МАГАЗИН а не ресторан?))) Для меня очень удобно, заказ сделать по телефону а потом его забрать, не простаивая в очередях)))"
0,2,"Уважаемые гости, читаем внимательно вывеску там написано сеть магазинов Суши Вок, а не ресторан или кафе, чтоб потом войдя в магазин не расстраиваться, кстати у нас цены намного дешевле чем в ресторанах, лично сам знаю , а качество даже лучше.(опыт работы семь лет) в нашей сети даже на отзывы отвечают спаибо огромное"
1,0,"заказывали на дом...всегда всёвкусно очень..но часто  забывают принести ..то приборы, то соус....а сегодня пиво такое кислое....оно наверное испортилось....и соуса вообще нет....а пластиковый контейнер для соуса такой маленький что  туда струдом влезли бы роллы. а что касается рулетов и суши  всё очень вкусно всегда. мне нравится. пойду вылью пиво..."
0,0,"очень нравится ваш магазин на Среднеохтинском 23!:) всё безумно вкусно, отличный соевый соус, очень приветливая девушка кассир и хорошие повара, надеюсь, всё остается на этом же уровне:) сегодня купила набор запечёных роллов (ни один не развалился) на ужин я с ними чуть язык не проглотила:))) минус на Большом пр. П.С. 94 нет коробочек, в связи с чем невозможно заказать обед:( уже дважды обломали с этим:("
5,2,"Эллина Тихонова спасибо Вам за отзыв!нам очень приятно читать,что наша работа приносит Вам радость и удовольствие!)Будем стараться и дальше для Вас!  Артур Югай спасибо за активное участие!)  Кастр Юля  обязательно разберемся со сложившейся!  Таня Комета постараемся оперативно решить моменты,которые вам не понравились!)"
0,0,"Сегодня, как и вчера заказывала суши , вчера нет претензий, а сегодня запеченый краб разваливался ужасно, пришлось есть вилкой, лапша с курицей   очень сухая, липкая и не вкусная, сушики у вас вкуснее. Магазин на Гражданке."
1,2,Ольга Зубкова  постараемся решить сложившуюся ситуацию в ближайшее время.ответ будет в л с
0,2,"Кастр Юля,Ольга Зубкова ответили Вам в  л с. С Уважением,Суши Wok."
0,0,"Очень неудобно пользоваться вашим сайтом в инете, если не сказать   невозможно. Линейка блюдечек внизу страницы полностью перекрывает информацию о блюдах и их стоимости. Или объясните мне, как это все увидеть! Таким образом, меню на сайте вообще нечитаемо. И зачем такой сайт нужен, если им нельзя воспользоваться? Сделайте что нибудь, пожалуйста, приведите в удобочитаемый вид!Спасибо."
0,2,"Мария спасибо за ваш отзыв!Ответ в л с. С Уважением,компания Суши Wok."
0,0,"Здравствуйте! Сегодня по адресу пр. Просвещения ул Есенина д 32.  Сделала заказ по телефону на (Супер сет). Долго не кто не подходил к телефону потом приняли заказ в 12.37. Сказали что через 10 минут будет!. Заказ принял мужчина а не девушка. Я Почти каждый день там делаю заказы!. Я пришла в 13.11 заказ готовым не был. Оказалось что не понятно кто его принял и его не в несли в базу!. Получила я заказ в 13.20 В этот день работал администратор который мне очень не нравится в ее смену вечно что то не так все медленно то салфетки не положит, то не положит приборы, при этом даже не спрашивает. Так вот главное другое Филадельфия в этом заказе оказалась испорченной, я всегда ее беру она была стухшей огурцы были вообще в ужасном состоянии ужасный вкус и запах, я съела одну штучку все, перебрала весь остальной набор в остальном все в порядке, но калифорния вся испорченная, авокадо было серое уже. краб  крем вообще смотреть страшно.  Я опять пыталась туда дозвониться там трубку так и не взяли. Я звонила по не которым другим магазинам чтоб найти управляющего. Естественно его не найти было , телефон его не кто не дал. Единственное девушка с магазина на Энгельса пр 113 взяла мой номер телефона чтоб передать управляющему и мою жалобу ему озвучить.  Очень обидно когда каждый день покупаешь и именно в одну смену проблемы. Причем сегодня там были другие повара у них и вкус другой но это ладно но то что испорченно это ужасно!!! Надеюсь что вы примете меры!!!!!!! Не хочется это решать по другому!!! С Уважением Еськина   Гордиенко Татьяна Витальевна!!"
0,0,"Продукция в Суши вок очень нравится.покупаем там минимум 1 в неделю. На индустриальном , все устраивает ,подождать 20 мин совсем не проблема, уютно сделаны столики с диванчиками!!Спасибо Вам за прекрасную продукцию. Хотелось бы поучаствовать в каких нибудь конкурсах!"
0,2,"Наталия Радзивилова,  Танюша Еськина Гордиенко Приносим свои извинения из за сложившейся ситауации! обязательно разберемся!ответ вы получите в личку.  Павел Постельноебелье спасибо вам за ваш отзыв.Рады,что вам нравится наш магазин на индустриальном.постараемся совершенствоваться для вас!  С Уважением,Суши Wok."
0,0,"Добрый вечер! Хочу сказать большое спасибо,  за то что вы есть! У вас очень хорошое отношенее к клиентам. Вы очень вкустно готовите! Заказываю у вас постоянно, но в разных магазинах, которые находятся Просвящения 30, Просвящения 38 и один раз заказывал на Энгельса 113! С уважением ваш постоянный клиент, Антон!"
0,0,"Здравствуйте! Хочу сказать огромное спасибо Вашей фирме.Постоянно покупаю суши на Есенина д.32.Замечательные ребята там работают.Кассиры очень внимательные,повара готовят чудесно! Особенно хочу отметить работу администратора Евгения.Очень вежливый,приятный молодой человек.Большое спасибо всему коллективу!!!!!!!!!!"
0,0,"Добрый вечер!!! люди будьте людьми в конце концов, почему вы такие меркантильные, будьте добрее лето на дворе,суши надо есть с удовольствием не спеша, а повара все хорошие особенно на Есенина 32, прошу отметить это."
0,0,Доброе утро! на Есенина 32 всегда отличалось лучшим качеством ! Прекрасные ребята!! Прекрасная кухня!!! Спасибо Вам большое!!!
0,2,"Антон Ремез  спасибо за приятный отзыв!))мы очень рады читать такие добрые слова в наш адрес!в свою очередь хотим сказать Спасибо Вам, за то что вы с нами и заказываете у нас!)мы будет стараться и дальше радовать!!!)  Ольга Зайцева Владимирова Боровикова  благодарим вас за теплые слова в адрес нашей компании!)нам очень приятно!оставайтесь с нами и мы будет совершенствовать для Вас!  Ольга Янго спасибо Вам!спасибо что вы с нами и помогаете нам развиваться своими приятными отзывами!мы Вам очень благодарны!)  Артур Югай Вам отдельное спасибо)  Дорогие друзья,мы стараемся оперативно реагировать на ваши замечания, иногда это занимает больше времени,чем хотелось бы.Но мы стараемся улучшить нашу работу и Вы были рады всем покупкам в наших магазинах!  С Уважением,Суши Wok."
0,2,Спасибо Вам большое за теплые слова!!! Мы будем стараться  радовать Вас качеством и теплым радушием нашего прекрасного коллектива на Есенина 32!!!  С Уважением управляющий магазина Тимашов Евгений!!!
1,0,"Суши у вас вкусные, конечно, и по цене приемлимые, но вот обслуживание оставляет желать лучшего. Не так давно открылся новый ретсоран на Литейном, заходил я туда два раза и оба раза оставили ужасные впечатления. Первый раз моя покупка была свыше 700 рублей, вроде как, по акции, мне полагался ролл Филадельфия в подарок, но его я не получил, помимо этого я заказывал две лапши одну с курицей, другую с лососем, мне дали обе с курицей, хотя цена разная. На первый раз я решил простить такую оплшоность, мало ли, работы много. Но! Когда я решил дать второй шанс этому заведению меня поразило равнодушие сотрудников ресторана. Передо мной стояла девушка, которая хотела отобедать там же, но свободных мест за большими столиками не было, помимо этого там стояло еще два стола, но без стульев, спрашивается зачем? За барной стойкой сидеть девушка отказалась, из за своих габаритов, попросила стул, но никто ей его не принес. Более того сказали, что эти столи (без стульев) прост одекорация.. не странно ли?  Плюс ко всему со мной также была проблема, мой заказа простоял готовым 20 минут и меня никто не звал, при этом, когда я сказал, что я жду уже 30 минут сотрудники начала оправдываться, что мол звали, но я стоял рядом и ничего такого не слышал. И еще по карте   она должна давать 5 ти   скидку, но в чеке никакой скидки не было..  Мне бы хотелось продолжать посещать ваши рестораны, но если такое отношение и обслуживание будет продолжаться, боюсь вы растеряете добрую половину клиентов."
0,2,Денис Олейник  обязательно разберемся в сложившейся ситуации.Ответ получите в личные сообщения.
0,2,"Наталия Радзивилова,Танюша Еськина Гордиенко,Денис Олейник  ответили Вам в личку. Спасибо Вам за Ваши отзывы. С Уважением,компания Суши Wok."
0,2,"Здравствуйте, подскажите, пожалуйста, а при доставке заказа больше чем на 500 р домой, скидочная карта полагается? а то я делала заказ и карту мне не дали.... Спасибо."
0,2,"Народ, чего у вас с сайтом?  ) Оплатите хостинг. А то не понятно, чего у вас там по акциям... Есть ли еще наборы Филомания и Запеченый?"
1,0,"Здравствуйте! Я довольна вашей продукцией и расположением магазинов, но вот постоянными проблемами с доставкой вы отпугнули меня как постоянного клиента. на третий или четвертый раз заказа по телефону я услышала, что на мой адрес доставка не осуществляется и наверное до этого это была ошибка! хотя разговор шел о 500 м. А теперь, уже в другом месте вообще два часа трубку не берут. Такими проблемами теряете клиентов. Я, во всяком случае, гоняюсь не только за ценами, но и за качеством, и я такая не одна. Спасибо."
0,0,"Здравствуйте! Сегодня на Сренеохтинском 23 купила филоманию. Дома оказалось, что там нет ни имбиря ни васаби, пришлось возвращаться( Идти недалеко, но неприятный осадок остался..."
0,0,"Добрый день. очень долго звонили в доставку на Байконурской,то занято,то не отвечали,пришлось заказывать в другом месте."
0,0,"На просвещении 30 лучшая кухня! готовят очень вкусно! очень приятный, вежливый персонал, быстрое обслуживание, всем советую посетить его!)))))"
0,0,"На науки д 12 работают южане. улыбаются золотыми зубами. не понравилось что между собой говорят на своём языке. И музыка в магазине тоже их, азербайджанская. заказала 13 июня филадельфию. было вкусно. а 4 суши лосось сделаны были плохо: громадные, все рассыпались.. ну нельзя же столько риса!! и рыбка была заветрена. слава Богу не отразилось на ЖКТ. Но я туда больше ни ногой. Да, чисто а магазине, приветливый персонал, быстро сделали... но.... много было но."
0,0,"А я с предложением: сделайте на сайте форму заказа на доставку, т.к. иногда просто не дозвониться по нужным телефонам."
0,0,"Хорошие суши заказываю всегда на ст.метро Ладожская хотелось бы магазин где нибудь на Дыбенко или Большевиков, чтобы открылся."
0,0,"здравствуйте. посетила Ваш магазин на лесном 3.в первый раз,когда была не вышел на работу повар горячего цеха.расстроилась,но бывает всякое.в основном данный магазин ориентирован на вынос,хотя посетителей очень много,поскольку рядом учебное заведение и поесть было бы удобно там.ждать пришлось долго,но это объяснимо и понять можно,повара не волшебники)) суши очень вкусные,большие,немного разваливалась,но и цена на них не ресторанная,чтоб уж сильно придираться.запеченные суши большие,нежные,вкусные.на филадельфии во второй рыбка только с одной стороны.всегда спросят,на сколько персон надо приборов.с соусом и имбирем нет проблем.повара приятные,администратор Анжела приятная женщина.кассиры тоже вроде не плохие девочки. попробовала удон с курицей.овощи хорошие,лапша чуть слиплась я не придиралась,но курица не свеже приготовленная и соуса мало,надо взять дополнительно.но порция очень большая. в итоге,мы с молодым человеком довольны вкусно и недорого.спасибо) только тоже в чеке не увидели ни слова о скидке.можно подробнее о ней узнать?вроде она если заказ от 1000 рублей?"
0,0,Здравствуйте. Безумно хотелось бы чтобы открылся магазинчик на большевиков или дыбенко!)
1,0,"вчера вечером зашла в магазин на Чкаловском проспекте перекусить после работы. роллы были как обычно в вашей сети очень вкусные но было одно большое НО испортившее всё настроение они практически все разваливались прямо в соус!!!:(((( подошла сказала кассирше об этом, она любезно поблагодарила меня за мнение, что то сказала поварам и всё, даже извинений не было:((("
0,0,"а куда админы подевались? ни ответов, ни комментариев.."
1,0,"Постоянно берем у вас сушки с собой!!! Нравятся и на вид и на вкус, но вот рис!!! Он разваливается, палочками не взять! Сначала брали на просвещении, потом стали в озерках, через раз в озерках та же проблема!!! Готовьте правильно рис и все будет супер!!!"
